Algorithm,Threads,Elements,Time taken
OMP Brick Sort,1,25000,2.22621
OMP Brick Sort,1,50000,9.22579
OMP Brick Sort,1,75000,20.673432
OMP Brick Sort,1,100000,37.378268
OMP Brick Sort,1,125000,58.574512
OMP Brick Sort,1,150000,83.816556
OMP Brick Sort,1,175000,113.773102
OMP Brick Sort,1,200000,149.375728
OMP Brick Sort,2,25000,2.227225
OMP Brick Sort,2,50000,9.13285
OMP Brick Sort,2,75000,20.635871
OMP Brick Sort,2,100000,37.437465
OMP Brick Sort,2,125000,57.745331
OMP Brick Sort,2,150000,84.208214
OMP Brick Sort,2,175000,113.221285
OMP Brick Sort,2,200000,150.080633
OMP Brick Sort,4,25000,2.225135
OMP Brick Sort,4,50000,9.112674
OMP Brick Sort,4,75000,20.963405
OMP Brick Sort,4,100000,36.852827
OMP Brick Sort,4,125000,58.49354
OMP Brick Sort,4,150000,83.072727
OMP Brick Sort,4,175000,114.688833
OMP Brick Sort,4,200000,149.104957
OMP Brick Sort,8,25000,2.202236
OMP Brick Sort,8,50000,9.148519
OMP Brick Sort,8,75000,20.724194
OMP Brick Sort,8,100000,36.945085
OMP Brick Sort,8,125000,57.824197
OMP Brick Sort,8,150000,83.173444
OMP Brick Sort,8,175000,113.628025
OMP Brick Sort,8,200000,148.868622
OMP Bucket Sort,1,25000,0.039344
OMP Bucket Sort,1,50000,0.049907
OMP Bucket Sort,1,75000,0.05043
OMP Bucket Sort,1,100000,0.072819
OMP Bucket Sort,1,125000,0.040245
OMP Bucket Sort,1,150000,0.09929
OMP Bucket Sort,1,175000,0.132805
OMP Bucket Sort,1,200000,0.038695
OMP Bucket Sort,2,25000,0.037189
OMP Bucket Sort,2,50000,0.036824
OMP Bucket Sort,2,75000,0.037419
OMP Bucket Sort,2,100000,0.051761
OMP Bucket Sort,2,125000,0.107982
OMP Bucket Sort,2,150000,0.0382
OMP Bucket Sort,2,175000,0.042077
OMP Bucket Sort,2,200000,0.038664
OMP Bucket Sort,4,25000,0.060486
OMP Bucket Sort,4,50000,0.037022
OMP Bucket Sort,4,75000,0.037528
OMP Bucket Sort,4,100000,0.152683
OMP Bucket Sort,4,125000,0.037772
OMP Bucket Sort,4,150000,0.038107
OMP Bucket Sort,4,175000,0.090884
OMP Bucket Sort,4,200000,0.040234
OMP Bucket Sort,8,25000,0.052429
OMP Bucket Sort,8,50000,0.037235
OMP Bucket Sort,8,75000,0.037501
OMP Bucket Sort,8,100000,0.040767
OMP Bucket Sort,8,125000,0.037891
OMP Bucket Sort,8,150000,0.038623
OMP Bucket Sort,8,175000,0.128157
OMP Bucket Sort,8,200000,0.039095
OMP Counting Sort,1,25000,0.030691
OMP Counting Sort,1,50000,0.036624
OMP Counting Sort,1,75000,0.062274
OMP Counting Sort,1,100000,0.037196
OMP Counting Sort,1,125000,0.036881
OMP Counting Sort,1,150000,0.064148
OMP Counting Sort,1,175000,0.063202
OMP Counting Sort,1,200000,0.037265
OMP Counting Sort,2,25000,0.042512
OMP Counting Sort,2,50000,0.036561
OMP Counting Sort,2,75000,0.043417
OMP Counting Sort,2,100000,0.036896
OMP Counting Sort,2,125000,0.039949
OMP Counting Sort,2,150000,0.080914
OMP Counting Sort,2,175000,0.066886
OMP Counting Sort,2,200000,0.088966
OMP Counting Sort,4,25000,0.086028
OMP Counting Sort,4,50000,0.102313
OMP Counting Sort,4,75000,0.092369
OMP Counting Sort,4,100000,0.106703
OMP Counting Sort,4,125000,0.039143
OMP Counting Sort,4,150000,0.101734
OMP Counting Sort,4,175000,0.036858
OMP Counting Sort,4,200000,0.037676
OMP Counting Sort,8,25000,0.036038
OMP Counting Sort,8,50000,0.081654
OMP Counting Sort,8,75000,0.05922
OMP Counting Sort,8,100000,0.113481
OMP Counting Sort,8,125000,0.037952
OMP Counting Sort,8,150000,0.037075
OMP Counting Sort,8,175000,0.043291
OMP Counting Sort,8,200000,0.03737
OMP Insertion Sort,1,25000,0.914202
OMP Insertion Sort,1,50000,3.73744
OMP Insertion Sort,1,75000,8.427668
OMP Insertion Sort,1,100000,14.82806
OMP Insertion Sort,1,125000,22.812664
OMP Insertion Sort,1,150000,33.374051
OMP Insertion Sort,1,175000,45.013871
OMP Insertion Sort,1,200000,59.254528
OMP Insertion Sort,2,25000,0.275197
OMP Insertion Sort,2,50000,0.943805
OMP Insertion Sort,2,75000,2.114298
OMP Insertion Sort,2,100000,3.772092
OMP Insertion Sort,2,125000,5.764988
OMP Insertion Sort,2,150000,8.263511
OMP Insertion Sort,2,175000,11.29523
OMP Insertion Sort,2,200000,14.564277
OMP Insertion Sort,4,25000,0.099712
OMP Insertion Sort,4,50000,0.231823
OMP Insertion Sort,4,75000,0.515882
OMP Insertion Sort,4,100000,0.948502
OMP Insertion Sort,4,125000,1.426112
OMP Insertion Sort,4,150000,2.01398
OMP Insertion Sort,4,175000,2.804572
OMP Insertion Sort,4,200000,3.602664
OMP Insertion Sort,8,25000,0.032702
OMP Insertion Sort,8,50000,0.07237
OMP Insertion Sort,8,75000,0.142999
OMP Insertion Sort,8,100000,0.253124
OMP Insertion Sort,8,125000,0.376498
OMP Insertion Sort,8,150000,0.536527
OMP Insertion Sort,8,175000,0.731958
OMP Insertion Sort,8,200000,0.948601
OMP Matrix multiplication,1,250,0.085035
OMP Matrix multiplication,1,500,0.659432
OMP Matrix multiplication,1,750,2.298903
OMP Matrix multiplication,1,1000,5.364075
OMP Matrix multiplication,1,1250,10.292693
OMP Matrix multiplication,1,1500,18.201036
OMP Matrix multiplication,1,1750,29.599563
OMP Matrix multiplication,1,2000,47.114183
OMP Matrix multiplication,2,250,0.043192
OMP Matrix multiplication,2,500,0.343
OMP Matrix multiplication,2,750,1.119281
OMP Matrix multiplication,2,1000,2.68086
OMP Matrix multiplication,2,1250,5.198457
OMP Matrix multiplication,2,1500,9.091406
OMP Matrix multiplication,2,1750,15.087413
OMP Matrix multiplication,2,2000,23.99517
OMP Matrix multiplication,4,250,0.021959
OMP Matrix multiplication,4,500,0.170274
OMP Matrix multiplication,4,750,0.568827
OMP Matrix multiplication,4,1000,1.347442
OMP Matrix multiplication,4,1250,2.602309
OMP Matrix multiplication,4,1500,4.522512
OMP Matrix multiplication,4,1750,7.468201
OMP Matrix multiplication,4,2000,11.70498
OMP Matrix multiplication,8,250,0.011579
OMP Matrix multiplication,8,500,0.08694
OMP Matrix multiplication,8,750,0.285886
OMP Matrix multiplication,8,1000,0.676743
OMP Matrix multiplication,8,1250,1.320801
OMP Matrix multiplication,8,1500,2.311056
OMP Matrix multiplication,8,1750,3.78276
OMP Matrix multiplication,8,2000,5.913252
OMP Selection Sort,1,25000,220.917225
OMP Selection Sort,1,50000,264.701417
OMP Selection Sort,1,75000,508.349266
OMP Selection Sort,1,100000,769.294399
OMP Selection Sort,1,125000,1038.284294
OMP Selection Sort,1,150000,1307.812898
OMP Selection Sort,1,175000,742.374711
OMP Selection Sort,1,200000,11.559485
OMP Selection Sort,2,25000,24.023854
OMP Selection Sort,2,50000,1.160752
OMP Selection Sort,2,75000,2.846659
OMP Selection Sort,2,100000,4.479359
OMP Selection Sort,2,125000,4.073081
OMP Selection Sort,2,150000,15.446468
OMP Selection Sort,2,175000,12.389121
OMP Selection Sort,2,200000,6.082702
OMP Selection Sort,4,25000,1.033922
OMP Selection Sort,4,50000,1.604932
OMP Selection Sort,4,75000,7.609891
OMP Selection Sort,4,100000,8.832797
OMP Selection Sort,4,125000,3.395746
OMP Selection Sort,4,150000,9.075862
OMP Selection Sort,4,175000,8.13502
OMP Selection Sort,4,200000,8.866218
OMP Selection Sort,8,25000,0.760472
OMP Selection Sort,8,50000,13.30032
OMP Selection Sort,8,75000,1.19948
OMP Selection Sort,8,100000,2.079098
OMP Selection Sort,8,125000,5.609046
OMP Selection Sort,8,150000,28.757704
OMP Selection Sort,8,175000,9.797945